,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
1931,4,6,3,34,92,1931.0,4.064775000000001,3.0,5.223925000000003,6.21885,5.407850000000002,7713.0,2.9452749999999996,3.532474999999999,0.8856
1932,9,2,6,497,60,1932.0,0.8110250000000002,27.0,0.0,0.0,0.0,1230.0,0.0,3.124350000000001,0.0
1933,7,2,6,497,60,1933.0,1.6566999999999998,37.0,1.1890500000000002,0.0,0.5273499999999998,1898.0,0.44282499999999997,2.0945749999999994,0.199
1934,9,2,6,497,60,1934.0,0.810925,7.0,9.905349999999997,3.845699999999998,6.174100000000002,7220.0,1.2536999999999998,3.835974999999999,0.08955
1935,9,2,6,497,60,1935.0,1.6666499999999997,29.0,0.7314,0.009975000000000001,1.0895499999999998,2319.0,2.004974999999999,3.2636999999999987,0.004974999999999999
1936,9,2,6,346,60,1936.0,0.7264000000000006,4.0,4.636825000000001,4.860675,6.975174999999999,7358.0,3.4625999999999992,3.452749999999999,1.3283250000000009
1937,9,2,6,497,4,1937.0,0.7264000000000006,4.0,4.636825000000001,4.860675,6.975174999999999,7358.0,3.4625999999999992,3.452749999999999,1.3283250000000009
1938,7,2,6,346,4,1938.0,0.915425,22.0,3.0398500000000017,3.41285,5.119575000000003,4096.0,1.6717,1.0696500000000007,0.6964999999999999
1939,19,7,1,247,10,1939.0,0.75125,37.0,1.4726,0.9303500000000001,1.1442750000000002,2083.0,1.0198750000000003,1.5223749999999998,0.21392499999999995
1940,17,7,1,247,10,1940.0,1.6964750000000002,35.0,0.0,0.0,0.0,1445.0,0.0,3.3483,0.0
1941,19,7,1,247,10,1941.0,0.75125,37.0,1.4726,0.9303500000000001,1.1442750000000002,2083.0,1.0198750000000003,1.5223749999999998,0.21392499999999995
1942,19,7,1,247,10,1942.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
