,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
546,12,4,3,492,89,546.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
547,6,4,3,492,89,547.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
548,12,5,3,492,89,548.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
549,12,4,2,492,89,549.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
550,12,4,3,29,89,550.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
551,12,4,3,492,77,551.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
552,6,5,2,29,77,552.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
553,2,9,7,242,39,553.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
554,16,9,7,242,39,554.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
555,2,9,7,242,39,555.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
556,2,9,6,242,39,556.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
557,2,9,7,279,39,557.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
558,2,9,7,242,27,558.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
559,16,9,6,279,27,559.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
560,2,4,4,257,61,560.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
561,2,4,4,257,61,561.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
562,2,8,4,257,61,562.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
563,2,4,1,257,61,563.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
564,2,4,4,326,61,564.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
565,2,4,4,257,86,565.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
566,2,8,1,326,86,566.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
567,12,9,9,7,11,567.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
568,12,9,9,7,11,568.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
569,12,3,9,7,11,569.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
570,12,9,6,7,11,570.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
571,12,9,9,76,11,571.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
572,12,9,9,7,36,572.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
573,12,3,6,76,36,573.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
574,17,2,2,382,36,574.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
575,17,2,2,382,36,575.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
576,17,10,2,382,36,576.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
577,17,2,8,382,36,577.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
578,17,2,2,201,36,578.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
579,17,2,2,382,11,579.0,0.6617249999999997,27.0,0.0,0.0,0.0,1261.0,0.0,4.000174999999999,0.0
580,17,10,8,201,11,580.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
