,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
773,12,2,7,234,78,773.0,1.0248499999999996,9.0,6.402999999999997,1.955225,2.139299999999998,6134.0,1.6617,3.8060499999999986,2.164150000000001
774,12,2,6,474,78,774.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
775,12,2,6,234,78,775.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
776,15,7,7,474,78,776.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
777,2,6,1,484,28,777.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
778,5,6,1,484,28,778.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
779,2,3,1,484,28,779.0,0.38804999999999984,8.0,9.532175000000002,3.8507249999999997,5.895650000000001,6541.0,2.0497250000000014,2.8606749999999987,1.4626750000000002
780,2,6,2,484,28,780.0,0.9004999999999996,18.0,5.1393499999999985,2.039850000000001,2.905525000000001,4909.0,1.6168999999999993,3.2238249999999997,1.303475
781,2,6,1,224,28,781.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
782,2,6,1,484,28,782.0,0.9253749999999996,31.0,0.0,0.0,0.0,1380.0,0.0,3.75625,0.0
783,5,3,2,224,28,783.0,0.38804999999999984,8.0,9.532175000000002,3.8507249999999997,5.895650000000001,6541.0,2.0497250000000014,2.8606749999999987,1.4626750000000002
784,1,2,9,31,75,784.0,1.4925499999999994,39.0,0.7910250000000001,0.08955,0.8208999999999999,2001.0,0.9402749999999999,2.2736500000000013,0.21392500000000003
785,19,2,9,31,75,785.0,1.4925499999999994,39.0,0.7910250000000001,0.08955,0.8208999999999999,2001.0,0.9402749999999999,2.2736500000000013,0.21392500000000003
786,1,5,9,31,75,786.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
787,1,2,7,31,75,787.0,1.0248499999999996,9.0,6.402999999999997,1.955225,2.139299999999998,6134.0,1.6617,3.8060499999999986,2.164150000000001
788,1,2,9,177,75,788.0,1.0248499999999996,9.0,6.402999999999997,1.955225,2.139299999999998,6134.0,1.6617,3.8060499999999986,2.164150000000001
789,1,2,9,31,81,789.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
790,19,5,7,177,81,790.0,0.36815,25.0,3.1443250000000003,1.7263750000000013,5.184049999999998,4094.0,1.3532750000000002,2.1989749999999986,0.96515
791,11,6,5,281,25,791.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
792,9,6,5,281,25,792.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
793,11,10,5,281,25,793.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
794,11,6,3,281,25,794.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
795,11,6,5,427,25,795.0,0.9950500000000004,24.0,1.9503000000000008,0.35322499999999996,1.8905249999999993,2821.0,1.6219250000000005,3.7413,0.37810000000000005
796,11,6,5,281,31,796.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
797,9,10,3,427,31,797.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
798,16,4,7,156,50,798.0,0.9004999999999996,18.0,5.1393499999999985,2.039850000000001,2.905525000000001,4909.0,1.6168999999999993,3.2238249999999997,1.303475
799,4,4,7,156,50,799.0,0.5422750000000004,3.0,7.1194999999999995,5.681700000000001,2.602000000000001,6361.0,2.572175000000001,4.666625000000001,0.7064999999999998
800,16,3,7,156,50,800.0,1.1691500000000008,6.0,5.432800000000001,3.5870499999999996,2.7960000000000007,5701.0,2.8956000000000013,3.8657,1.5373
801,16,4,5,156,50,801.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
802,16,4,7,302,50,802.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
803,16,4,7,156,6,803.0,0.5721250000000001,35.0,0.0,0.0,0.0,1197.0,0.0,3.7314499999999997,0.0
804,4,3,5,302,6,804.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
805,6,9,2,406,100,805.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
806,14,9,2,406,100,806.0,0.9154000000000003,4.0,9.268749999999994,4.134374999999997,5.049624999999999,6731.0,2.0497000000000005,4.422875000000002,0.1991
807,6,7,2,406,100,807.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
808,6,9,9,406,100,808.0,0.6318500000000001,26.0,2.3035250000000005,1.3383499999999995,1.358175,2490.0,1.3084750000000005,1.3681249999999998,0.233825
809,6,9,2,52,100,809.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
810,6,9,2,406,56,810.0,0.5970999999999996,25.0,2.323375,1.9402750000000009,3.9054749999999996,3466.0,1.80095,1.7910500000000018,0.4825749999999999
811,14,7,9,52,56,811.0,0.6965000000000003,40.0,0.0,0.0,0.0,1222.0,0.0,3.26365,0.0
812,9,5,4,468,87,812.0,1.0248499999999996,9.0,6.402999999999997,1.955225,2.139299999999998,6134.0,1.6617,3.8060499999999986,2.164150000000001
813,17,5,4,468,87,813.0,1.1691500000000008,6.0,5.432800000000001,3.5870499999999996,2.7960000000000007,5701.0,2.8956000000000013,3.8657,1.5373
814,9,2,4,468,87,814.0,0.9950500000000004,24.0,1.9503000000000008,0.35322499999999996,1.8905249999999993,2821.0,1.6219250000000005,3.7413,0.37810000000000005
815,9,5,4,468,87,815.0,0.6318500000000001,26.0,2.3035250000000005,1.3383499999999995,1.358175,2490.0,1.3084750000000005,1.3681249999999998,0.233825
816,9,5,4,365,87,816.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
817,9,5,4,468,44,817.0,0.5970999999999996,25.0,2.323375,1.9402750000000009,3.9054749999999996,3466.0,1.80095,1.7910500000000018,0.4825749999999999
818,17,2,4,365,44,818.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
819,19,10,8,218,37,819.0,0.6318500000000001,26.0,2.3035250000000005,1.3383499999999995,1.358175,2490.0,1.3084750000000005,1.3681249999999998,0.233825
820,7,10,8,218,37,820.0,0.9253749999999996,31.0,0.0,0.0,0.0,1380.0,0.0,3.75625,0.0
821,19,6,8,218,37,821.0,1.1691500000000008,6.0,5.432800000000001,3.5870499999999996,2.7960000000000007,5701.0,2.8956000000000013,3.8657,1.5373
822,19,10,8,218,37,822.0,0.6965000000000003,40.0,0.0,0.0,0.0,1222.0,0.0,3.26365,0.0
823,19,10,8,115,37,823.0,0.5721250000000001,35.0,0.0,0.0,0.0,1197.0,0.0,3.7314499999999997,0.0
824,19,10,8,218,94,824.0,0.9154000000000003,4.0,9.268749999999994,4.134374999999997,5.049624999999999,6731.0,2.0497000000000005,4.422875000000002,0.1991
825,7,6,8,115,94,825.0,0.38804999999999984,8.0,9.532175000000002,3.8507249999999997,5.895650000000001,6541.0,2.0497250000000014,2.8606749999999987,1.4626750000000002
826,14,3,1,343,12,826.0,0.9950500000000004,24.0,1.9503000000000008,0.35322499999999996,1.8905249999999993,2821.0,1.6219250000000005,3.7413,0.37810000000000005
827,2,3,1,343,12,827.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
828,14,4,1,343,12,828.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
829,14,3,6,343,12,829.0,1.1691500000000008,6.0,5.432800000000001,3.5870499999999996,2.7960000000000007,5701.0,2.8956000000000013,3.8657,1.5373
830,14,3,1,240,12,830.0,0.6318500000000001,26.0,2.3035250000000005,1.3383499999999995,1.358175,2490.0,1.3084750000000005,1.3681249999999998,0.233825
831,14,3,1,343,69,831.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
832,2,4,6,240,69,832.0,1.1691500000000008,6.0,5.432800000000001,3.5870499999999996,2.7960000000000007,5701.0,2.8956000000000013,3.8657,1.5373
833,4,8,6,93,62,833.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
834,12,8,6,93,62,834.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
835,4,8,6,93,62,835.0,0.5721250000000001,35.0,0.0,0.0,0.0,1197.0,0.0,3.7314499999999997,0.0
836,4,8,1,93,62,836.0,0.9154000000000003,4.0,9.268749999999994,4.134374999999997,5.049624999999999,6731.0,2.0497000000000005,4.422875000000002,0.1991
837,4,8,6,490,62,837.0,1.4925499999999994,39.0,0.7910250000000001,0.08955,0.8208999999999999,2001.0,0.9402749999999999,2.2736500000000013,0.21392500000000003
838,4,8,6,93,19,838.0,0.0,5.0,0.6617249999999997,0.0,0.034825,600.0,0.0,1.2138999999999995,0.0
839,12,8,1,490,19,839.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
840,3,4,2,250,18,840.0,0.36815,25.0,3.1443250000000003,1.7263750000000013,5.184049999999998,4094.0,1.3532750000000002,2.1989749999999986,0.96515
841,13,4,2,250,18,841.0,0.9154000000000003,4.0,9.268749999999994,4.134374999999997,5.049624999999999,6731.0,2.0497000000000005,4.422875000000002,0.1991
842,3,1,2,250,18,842.0,0.5970999999999996,25.0,2.323375,1.9402750000000009,3.9054749999999996,3466.0,1.80095,1.7910500000000018,0.4825749999999999
843,3,4,4,250,18,843.0,0.9253749999999996,31.0,0.0,0.0,0.0,1380.0,0.0,3.75625,0.0
844,3,4,2,333,18,844.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
845,3,4,2,250,50,845.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
846,13,1,4,333,50,846.0,0.5970999999999996,25.0,2.323375,1.9402750000000009,3.9054749999999996,3466.0,1.80095,1.7910500000000018,0.4825749999999999
847,13,8,6,500,68,847.0,1.0248499999999996,9.0,6.402999999999997,1.955225,2.139299999999998,6134.0,1.6617,3.8060499999999986,2.164150000000001
848,3,8,6,500,68,848.0,0.597025,3.0,5.353225,4.641674999999998,7.2238,6788.0,2.4825500000000016,5.283449999999999,0.11442500000000004
849,13,6,6,500,68,849.0,0.5721250000000001,35.0,0.0,0.0,0.0,1197.0,0.0,3.7314499999999997,0.0
850,13,8,9,500,68,850.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
851,13,8,6,83,68,851.0,0.6318500000000001,26.0,2.3035250000000005,1.3383499999999995,1.358175,2490.0,1.3084750000000005,1.3681249999999998,0.233825
852,13,8,6,500,0,852.0,0.36815,25.0,3.1443250000000003,1.7263750000000013,5.184049999999998,4094.0,1.3532750000000002,2.1989749999999986,0.96515
853,3,6,9,83,0,853.0,0.5422750000000004,3.0,7.1194999999999995,5.681700000000001,2.602000000000001,6361.0,2.572175000000001,4.666625000000001,0.7064999999999998
854,18,1,4,125,93,854.0,3.2785250000000015,10.0,4.761225,4.537275000000003,2.756224999999999,6333.0,2.5322750000000003,2.248925,1.68655
855,8,1,4,125,93,855.0,2.741375000000001,6.0,4.452700000000002,5.009874999999999,5.079625000000002,7221.0,2.442774999999999,6.20895,0.7313499999999997
856,18,3,4,125,93,856.0,0.5422750000000004,3.0,7.1194999999999995,5.681700000000001,2.602000000000001,6361.0,2.572175000000001,4.666625000000001,0.7064999999999998
857,18,1,6,125,93,857.0,1.2785750000000007,30.0,2.333324999999999,1.039774999999999,1.223900000000001,2688.0,1.5323,2.378075,0.04975
858,18,1,4,208,93,858.0,0.9004999999999996,18.0,5.1393499999999985,2.039850000000001,2.905525000000001,4909.0,1.6168999999999993,3.2238249999999997,1.303475
859,18,1,4,125,25,859.0,0.9004999999999996,18.0,5.1393499999999985,2.039850000000001,2.905525000000001,4909.0,1.6168999999999993,3.2238249999999997,1.303475
860,8,3,6,208,25,860.0,0.5422750000000004,3.0,7.1194999999999995,5.681700000000001,2.602000000000001,6361.0,2.572175000000001,4.666625000000001,0.7064999999999998
861,8,6,9,375,43,861.0,0.9950500000000004,24.0,1.9503000000000008,0.35322499999999996,1.8905249999999993,2821.0,1.6219250000000005,3.7413,0.37810000000000005
862,18,6,9,375,43,862.0,0.9253749999999996,31.0,0.0,0.0,0.0,1380.0,0.0,3.75625,0.0
863,8,8,9,375,43,863.0,2.7563249999999986,8.0,4.9601999999999995,3.4776500000000006,3.0847000000000007,6034.0,1.8706250000000006,4.656674999999999,0.9154000000000011
